017
num-fields|53
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
timestamp|timestamp
collage_file|string
image_id|guid
11|261|2|16|30|1048|322|80|1|1|0|9.25|4.5|0|0.0|0.0|0.0|69.0|21.0|6.0|15.2222|50.3848|44.6638|23.5289|5.0945|1595.7688|45.0754|152.625|27.75|99.1804|45.0754|466.0594|371.5152|208.2609|15.8861|14370.0|2.9278|7.0562|1.2545|98.7111|9.078|0.4063|0.6241|0.3032|0.0|81.0|69.0|1595.7688|65.0|0.0|2023-05-22T12:46:31.391|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|C5F094AE-DCA0-42AC-A86E-0C79DF059B6D
12|279|2|25|22|181|1689|114|1|1|0|9.25|4.5|0|0.0|0.0|0.0|139.0|16.0|12.0|14.2778|42.9706|41.6498|15.088|11.9407|5208.032|81.4314|106.375|69.375|90.4446|81.4314|397.478|343.6356|130.223|49.7986|18101.0|1.0571|1.0|1.1567|140.2105|12.891|0.8389|0.9039|0.9561|0.0|124.0|139.0|5208.032|5.0|-90.0|2023-05-22T12:46:35.203|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|385D353E-0868-4071-90A9-BBBC2FADA4F3
13|306|2|32|39|463|1039|127|1|1|0|9.25|4.5|0|0.0|0.0|0.0|117.0|34.0|13.0|24.3611|138.5097|73.6866|34.7067|10.3304|3989.7985|71.2739|272.875|78.625|183.7152|74.1326|1281.2147|639.976|208.4444|10.8773|24388.0|12.4121|36.9667|2.002|21.125|14.344|0.1953|0.2488|0.2389|0.0|255.0|123.0|4316.2623|-60.0|25.0|2023-05-22T12:46:36.654|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|6FA136D6-622F-4D63-B474-8BE1DA586F85
14|340|2|22|18|379|1635|22|1|1|0|9.25|4.5|0|0.0|0.0|0.0|46.0|13.0|7.0|10.3056|32.9706|29.4054|12.9372|6.0927|983.9688|35.3953|78.625|32.375|53.7018|35.3953|304.978|230.375|221.2391|10.3634|10177.0|1.8806|3.6327|1.3238|40.0714|2.578|0.6426|0.3885|0.5728|0.0|51.5|46.0|983.9688|10.0|-85.0|2023-05-22T12:46:24.889|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|9F513E4B-4748-4AC8-A2E8-222A333BCDBC
15|364|2|21|23|1002|230|27|1|1|0|9.25|4.5|0|0.0|0.0|0.0|79.0|15.0|10.0|12.1944|41.5563|35.2595|14.7066|8.3506|2054.5009|51.1456|97.125|50.875|71.1732|52.3126|384.3958|284.5254|146.7215|47.8825|11591.0|1.6966|2.9963|1.351|157.9459|3.141|0.6315|0.7143|0.7212|0.0|86.0|81.0|2149.3242|-65.0|20.0|2023-05-22T12:46:25.451|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|15B26C0D-FBA9-49BB-B47D-6A9DD2F302F6
16|387|2|21|23|1001|230|24|1|1|0|9.25|4.5|0|0.0|0.0|0.0|84.0|15.0|9.0|12.1667|40.9706|34.8702|14.9693|8.2277|2293.3041|54.0363|97.125|41.625|70.917|54.0363|378.978|280.9243|148.5833|48.6455|12481.0|1.5902|2.6131|1.349|161.3333|2.797|0.6226|0.8022|0.7331|0.0|84.5|84.0|2293.3041|-65.0|30.0|2023-05-22T12:46:25.113|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|553DD1E7-44A6-492A-BAAB-6AFE0264CD38
17|410|2|23|19|918|1176|127|1|1|0|9.25|4.5|0|0.0|0.0|0.0|42.0|14.0|7.0|10.8333|42.2843|30.8699|14.4108|6.195|898.4063|33.8214|87.875|32.375|58.583|34.2217|391.1298|243.9216|221.3095|31.5206|9295.0|3.3089|8.2743|1.6035|123.0882|14.344|0.6229|0.1754|0.445|0.0|52.0|43.0|919.7969|-40.0|65.0|2023-05-22T12:46:36.654|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|B9FA7B9C-B07A-4889-AE33-EB9846D6E2B9
18|435|2|18|35|772|74|128|1|1|0|9.25|4.5|0|0.0|0.0|0.0|48.0|26.0|4.0|17.4167|54.3848|51.2263|29.0388|2.7028|1026.75|36.1566|198.875|18.5|119.4795|36.1566|503.0594|432.2183|220.9375|19.8141|10605.0|4.9035|13.3297|1.1639|101.3061|14.516|0.2667|0.554|0.1437|0.0|53.0|48.0|1026.75|60.0|-15.0|2023-05-22T12:46:36.827|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|80286002-D99E-4F1B-A4EE-BED77B9DAE0A
19|455|2|24|26|237|1405|126|1|1|0|9.25|4.5|0|0.0|0.0|0.0|176.0|17.0|14.0|15.5278|47.2132|45.7142|16.1198|13.934|7366.0888|96.8442|115.625|87.875|102.0071|96.8442|436.7221|381.2313|92.3295|61.2486|16250.0|1.0079|1.0|1.1456|221.8293|14.235|0.8956|0.8761|0.9872|0.0|159.0|176.0|7366.0888|-80.0|0.0|2023-05-22T12:46:36.549|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|B54691FE-4AB2-4B80-A8E0-4817EA2BB597
20|481|2|25|21|638|1043|120|1|1|0|9.25|4.5|0|0.0|0.0|0.0|56.0|18.0|5.0|12.3333|37.4558|35.7898|18.284|3.9641|1197.875|39.0536|124.875|23.125|72.458|39.0536|346.4662|289.4307|181.3036|28.5732|10153.0|1.9936|4.014|1.1971|150.9333|13.563|0.496|0.6397|0.4074|0.0|47.0|56.0|1197.875|20.0|-65.0|2023-05-22T12:46:35.875|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|46C33A86-D8EC-4953-A878-7A2321C08A07
